ID,Page_Number,Make,Model,Mileage,VIN,Title Status,Location,Engine,Drivetrain,Transmission,Body Style,Exterior Color,Interior Color,Price,Sold Type,Num Bids,Y_N_Reserve,Year,Date,URL
192,3,Chevrolet,Corvette,88300,1G1YY218XH5126515,Clean,51265,V8,Rear-wheel drive,Automatic,Coupe,None,None,5850,Sold For,29,No Reserve,1987,8-15-2023,https://carsandbids.com/auctions/3vQ17NJm/1987-chevrolet-corvette-coupe
193,3,Mercedes-Benz,S430,46900,WDBNG83J54A429170,Clean,42917,V8,4WD/AWD,Automatic,Sedan,None,None,12250,Sold For,29,No Reserve,2004,8-14-2023,https://carsandbids.com/auctions/35GvP0ek/2004-mercedes-benz-s430-4matic
194,3,Porsche,911,54300,WP0AA2A91ES106625,Clean,10662,Flat-6,Rear-wheel drive,Automatic,Coupe,None,None,58500,Sold For,30,No Reserve,2014,8-15-2023,https://carsandbids.com/auctions/rJYJEoOY/2014-porsche-911-carrera-coupe
195,3,BMW,Z4,61200,WBALM1C50BE633213,Clean,63321,I6,Rear-wheel drive,Automatic,Convertible,None,None,81423,Sold For,64,Reserve,2011,8-14-2023,https://carsandbids.com/auctions/3Bj54WgV/2011-bmw-z4-sdrive35is
196,3,Mazda,MX-5 Miata,41300,JM1NDAC77G0118744,Clean,1187,I4,Rear-wheel drive,Manual,Convertible,None,None,20500,Bid To,13,Reserve,2016,8-14-2023,https://carsandbids.com/auctions/3o0EwBam/2016-mazda-mx-5-miata-club
197,3,Rivian,R1S,200,7PDSGABL4NN002368,Clean,236,Electric,4WD/AWD,Automatic,SUV/Crossover,None,None,91000,Sold For,18,Reserve,2022,8-15-2023,https://carsandbids.com/auctions/KDLdnQVE/2022-rivian-r1s-launch-edition
198,3,BMW,M3,123400,WBSBL93493JR20929,Other,93493,I6,Rear-wheel drive,Automatic,Coupe,None,None,15800,Sold For,11,Reserve,2003,8-15-2023,https://carsandbids.com/auctions/3g4M5E6P/2003-bmw-m3-coupe
199,3,BMW,M4,39000,WBS3R9C57HK708902,Clean,70890,I6,Rear-wheel drive,Automatic,Coupe,None,None,44250,Sold For,16,Reserve,2017,8-15-2023,https://carsandbids.com/auctions/KY4PEAgE/2017-bmw-m4-coupe-competition-package
200,4,Porsche,Cayenne,167500,WP1AA29P09LA05903,Clean,5903,V6,4WD/AWD,Manual,SUV/Crossover,None,None,13556,Sold For,18,No Reserve,2009,8-10-2023,https://carsandbids.com/auctions/3o7W58Lg/2009-porsche-cayenne
201,4,Toyota,4Runner,224000,JTEBT14R070067069,Clean,7006,V8,4WD/AWD,Automatic,SUV/Crossover,None,None,8250,Sold For,32,No Reserve,2007,8-10-2023,https://carsandbids.com/auctions/9AD1V5er/2007-toyota-4runner-sr5-4x4
202,4,Porsche,911,4300,WP0AA2A9XNS205508,Clean,20550,Flat-6,Rear-wheel drive,Automatic,Coupe,None,None,112000,Sold For,31,Reserve,2022,8-10-2023,https://carsandbids.com/auctions/rGPkJyoN/2022-porsche-911-carrera-coupe
203,4,BMW,X5 M,82300,5YMGY0C54ALK25902,Clean,25902,V8,4WD/AWD,Automatic,SUV/Crossover,None,None,17750,Sold For,22,Reserve,2010,8-11-2023,https://carsandbids.com/auctions/9QB7vXvl/2010-bmw-x5-m
204,4,McLaren,650S,20300,SBM11FAA7GW006257,Clean,625,V8,Rear-wheel drive,Automatic,Convertible,None,None,106000,Sold For,64,Reserve,2016,8-10-2023,https://carsandbids.com/auctions/3v71JNxd/2016-mclaren-650s-spider
205,4,Porsche,911,90000,WP0AA2998XS624609,Clean,62460,Flat-6,Rear-wheel drive,Manual,Coupe,None,None,25250,Sold For,44,Reserve,1999,8-11-2023,https://carsandbids.com/auctions/K1D8w2A2/1999-porsche-911-carrera-coupe
206,4,Audi,A4,162500,WAUXF78K39A173009,Clean,17300,I4,4WD/AWD,Automatic,Wagon,None,None,9551,Sold For,16,No Reserve,2009,8-11-2023,https://carsandbids.com/auctions/36MMam0y/2009-audi-a4-avant-20t-quattro
207,4,Ford,Mustang,43000,1ZVHT88S485130261,Clean,48513,V8,Rear-wheel drive,Manual,Coupe,None,None,27250,Sold For,32,Reserve,2008,8-11-2023,https://carsandbids.com/auctions/rEQ1PqNV/2008-ford-mustang-shelby-gt500-coupe
208,4,Porsche,911,95500,WP0CA29946S756418,Clean,29946,Flat-6,Rear-wheel drive,Manual,Convertible,None,None,31500,Sold For,23,Reserve,2006,8-11-2023,https://carsandbids.com/auctions/30ONDlYR/2006-porsche-911-carrera-cabriolet
209,4,Jeep,Wrangler,400,1J4FA29SX5P355404,Clean,35540,I6,4WD/AWD,Automatic,SUV/Crossover,None,None,21100,Bid To,32,Reserve,2005,8-11-2023,https://carsandbids.com/auctions/3gGp86Wo/2005-jeep-wrangler-se-4x4
210,4,Honda,S2000,42000,JHMAP21445S001255,Clean,21445,I4,Rear-wheel drive,Manual,Convertible,None,None,25500,Sold For,17,Reserve,2005,8-11-2023,https://carsandbids.com/auctions/3yVq5XdK/2005-honda-s2000
211,4,Fiat,500 Abarth,21200,3C3CFFFH0HT699595,Clean,69959,I4,Front-wheel drive,Manual,Hatchback,None,None,16160,Sold For,37,Reserve,2017,8-14-2023,https://carsandbids.com/auctions/36w4MxBK/2017-fiat-500-abarth
