,VIN,Market_Value_Mean,Market_Value_Std,Count
189,1FTSX31F52EA40475,16817.39,4595,335
190,SALLDHMV8BA278431,134379.04,42479,5
191,WBAPK5C50AA653658,9931.88,2149,544
192,WDBWK56FX6F097046,13788.94,3035,132
193,WBA8B3C33HK777614,33688.1,3359,199
194,3FADP4GX8EM120534,15072.94,3161,293
195,6G3F15RW0FL118894,42372.14,5731,254
196,WBABW534X6PZ40838,9439.74,2190,135
197,4USCH7328VLB78656,8942.41,2062,89
198,ZAM45KLA4B0059571,39492.66,6472,49
199,1FABP28T3EF101719,15521.43,4941,4
200,1ZVBP8JS4B5114444,43815.44,6235,253
201,1J4FA69S83P353025,15771.64,3646,69
202,SALMF1E42AA324007,16980.42,3794,90
203,WBAPT73599CX02428,10841.32,2609,22
204,WDDEJ77X49A020621,30846.76,5835,33
205,YV1RH527252463660,8037.48,2434,18
206,2G2FV32G9X2218104,8629.42,2273,26
207,JT8BH28F1X0141478,6779.86,1887,37
208,JM1NB3538X0112933,9294.29,2381,184
209,1FA6P8JZ5G5521400,56940.01,7008,605
210,WDBWK54F36F128897,12377.08,2586,162
211,JM1NB3533X0123127,9294.29,2381,184
212,WP0AA2A74GL001265,51644.96,6638,396
213,5TFGZ5AN2HX075412,37409.99,3525,793
214,WP0CH2A73JL198781,145494.61,15053,55
215,SALME11415A180500,8405.18,2150,48
216,WBSDE93411BZ99121,32576.16,6726,16
217,JHMAP21485S007740,28972.72,5903,147
218,5YJSA1CN0DFP18626,35221.57,4249,214
219,WBANB335X4B088071,7732.48,1865,60
220,2MEHM75W74X687254,5938.54,1456,170
221,3FADP4GX9HM141008,19591.45,2404,467
222,WDDUG8FB5FA071384,47341.59,8451,1735
223,WBA13BK05MCG06127,82334.25,7475,166
224,WAUDGAFL3CA085609,21425.99,4894,32
225,JF1ZNAA18D1713059,17245.84,3007,1796
226,WF0DP3TH8G4115591,35820.8,4091,443
227,SCFEKBAK4DGC17340,74867.78,7650,17
228,WP0BA2Y13MSA71267,116128.41,10734,55
229,JTJHT00W353554604,17898.68,4512,77
230,1J4GZ58S3RC262771,3372.29,848,16
231,JT3HT05J7Y0120793,13966.66,3285,109
232,1GTHK39F3RE504516,7192.0,1784,4
233,JHMAP11421T008736,27254.86,6312,127
234,JT3HT05J4X0055271,13002.52,3249,62
235,WDDKJ7DB2GF329130,35079.17,5593,35
236,1J4FY19P7SP247951,8617.28,2157,97
237,3VW4T7AU1GM061574,22001.93,3115,1589
238,JTJHT00W613511790,14130.58,3573,64
239,2C3CDYBT5EH247089,24869.69,4160,1526
240,JM1FE173070212148,8578.39,2394,41
241,JA3AW75K3SY830125,39836.28,7169,4
242,1FALP54Y7SA160238,6060.9,1898,4
243,JTJHT00W664003594,22362.72,5155,141
244,WBAEV53455KM42610,6459.05,1353,21
245,1MHBP79M9FF612191,13795.0,0,1
246,WP0AA2998TS321520,106801.67,29459,38
247,1ZVHT82H185144406,16312.07,3844,947
248,6G2VX12U56L553488,20029.07,4319,199
249,JT4RN01P1K7009014,12068.97,2970,23
250,JTHBN36F265047516,12247.21,2583,224
251,1G8EK18H3CF152835,19950.08,2144,4
252,WVWWA7AU9KW148553,43107.9,2970,890
253,1GC2GUBG5A1135377,18744.7,5272,14
254,JN1HZ04S9CX449227,22098.93,6430,14
255,1FAHP56S24G180380,3853.29,915,32
256,1G1Y72D43L5109544,101455.44,9802,686
257,4JGAB74E2YA168995,7103.16,1391,9
258,WUARU78E67N900132,34986.2,6891,21
259,1FADP3L98GL254921,20402.98,3037,1123
260,1FT8W4DT2GEC98092,61921.87,10650,160
261,2MEFM74V38X644164,7914.83,1943,81
262,JTEBU5JR3J5500967,41038.07,4450,10359
263,WBSWL93569P332079,28818.33,5557,147
264,WAUB1GFF7H1054103,35094.09,3153,275
265,WDDWJ4JB0JF745883,33657.08,4538,5322
266,5YJ3E1EB2JF096733,46433.81,4352,3544
267,JN8HD17Y2SW014463,3438.23,860,10
268,WBSFV9C5XFD594324,48492.0,6591,174
269,1FTFW1R61CFB48200,33134.2,5548,550
270,JT6HT00W0Y0118776,12915.13,2964,103
271,WBS3R9C54GK337938,50327.22,6168,808
272,WP0AB298X6U780352,32469.22,5317,203
273,WBSBR93494PK06506,21848.86,5900,112
274,JF1VA2M63G9801496,30906.59,3477,586
275,1B3BR65E5RV100585,43870.75,9160,34
276,WBSNB93526B584015,20989.5,4961,118
277,WUADUAFG9CN002744,112169.11,16875,21
278,YS3EH55G923038774,7995.33,2828,2
279,WP0CA298XXU624597,12951.82,2964,178
280,1FADP3L9XJL332655,23905.82,2774,1033
281,WBAEG21090CB01757,25944.05,7673,15
282,137ZA9037XE184825,91144.75,20068,11
283,SCFFDCBD1BGE02785,110370.88,13622,8
284,1G1FJ1R65H0157550,59488.47,5526,327
285,WAUDGAFL4FA036780,30025.14,4016,313
286,JTHHP5AY7JA001348,79901.62,7668,587
287,WBAGG8344YDN77056,10080.23,2170,5
288,JM1NA3534V0728015,9329.84,2283,30
289,WDBFA76E4RF087459,23325.16,5013,7
290,JT3HN86R2W0162945,6840.81,2040,87
291,WP0AB2A89EK193680,57439.31,5741,254
292,6G3F25RW4HL300582,50750.67,5023,315
293,WUABWGFF4J1900359,59685.89,5396,322
294,JN1AZ34E63T016825,11899.35,2908,218
