,VIN,Num_Days,Market_Value_Mean,Market_Value_Std,Count,Count_Over_Days
194,JHMBA424XKC047128,385,13904.62,5493,5,0.012987012987012988
195,WBAGJ0342YDD73717,90,23230.07,7145,3,0.03333333333333333
196,1FAPP64R1NH140076,493,7995.0,0,1,0.002028397565922921
197,WBAEC8414K3268188,200,16238.29,5611,8,0.04
198,1G8AJ52F35Z156983,476,3903.86,1022,96,0.20168067226890757
199,SCBEC9ZAXEC094765,300,94574.97,13957,197,0.6566666666666666
200,WP0CA29926S757843,409,46655.61,8749,178,0.4352078239608802
201,WUADU78E48N900089,538,38638.14,10858,32,0.05947955390334572
202,2BCCZ8128JB523558,420,10281.61,2704,7,0.016666666666666666
203,WAUXL68E45A080345,549,12022.93,4286,9,0.01639344262295082
204,WBAEF6320SCC90374,90,19343.84,5479,15,0.16666666666666666
205,WAUKG74F36N064831,90,7187.24,1561,31,0.34444444444444444
206,2C3LA63HX6H170289,441,7916.45,1711,566,1.2834467120181405
207,SADHD2S11K1F62082,90,58879.71,7525,141,1.5666666666666667
208,WBA8D9G53HNU60293,125,27402.67,3241,1520,12.16
209,ZAR91600006038234,202,20437.55,6445,2,0.009900990099009901
210,1FTSW2BR3AEA68425,412,24054.1,5040,1095,2.657766990291262
211,SALRR2RV4L2415363,507,66555.59,5399,132,0.2603550295857988
212,SALMF13446A227451,417,10643.47,2250,59,0.14148681055155876
213,1FA6P8CF7H5312762,390,34884.31,4194,4834,12.394871794871795
214,WAUWFAFL0BA030478,144,12217.74,2324,177,1.2291666666666667
215,WBAEW53473PG22039,242,5632.8,1348,26,0.10743801652892562
216,1FTSX31F52EA40475,90,16817.39,4595,335,3.7222222222222223
217,SALLDHMV8BA278431,152,134379.04,42479,5,0.03289473684210526
218,WBAPK5C50AA653658,188,9931.88,2149,544,2.893617021276596
219,WDBWK56FX6F097046,473,13788.94,3035,132,0.27906976744186046
220,WBA8B3C33HK777614,656,33688.1,3359,199,0.30335365853658536
221,3FADP4GX8EM120534,711,15072.94,3161,293,0.4120956399437412
222,6G3F15RW0FL118894,440,42372.14,5731,254,0.5772727272727273
223,WBABW534X6PZ40838,278,9439.74,2190,135,0.4856115107913669
224,4USCH7328VLB78656,739,8942.41,2062,89,0.12043301759133965
225,ZAM45KLA4B0059571,777,39492.66,6472,49,0.06306306306306306
226,1FABP28T3EF101719,223,15521.43,4941,4,0.017937219730941704
227,1ZVBP8JS4B5114444,381,43815.44,6235,253,0.6640419947506562
228,1J4FA69S83P353025,350,15771.64,3646,69,0.19714285714285715
